"id","slug","title","difficulty","content"
"306","additive-number","Additive Number","Medium","An **additive number** is a string whose digits can form an **additive sequence**._x000D_
_x000D_
A valid **additive sequence** should contain **at least** three numbers. Except for the first two numbers, each subsequent number in the sequence must be the sum of the preceding two._x000D_
_x000D_
Given a string containing only digits, return `true` if it is an **additive number** or `false` otherwise._x000D_
_x000D_
**Note:** Numbers in the additive sequence **cannot** have leading zeros, so sequence `1, 2, 03` or `1, 02, 3` is invalid._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:**  ""112358 ""_x000D_
**Output:** true_x000D_
**Explanation:** _x000D_
The digits can form an additive sequence: 1, 1, 2, 3, 5, 8. _x000D_
1 + 1 = 2, 1 + 2 = 3, 2 + 3 = 5, 3 + 5 = 8_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:**  ""199100199 ""_x000D_
**Output:** true_x000D_
**Explanation:** _x000D_
The additive sequence is: 1, 99, 100, 199. _x000D_
1 + 99 = 100, 99 + 100 = 199_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= num.length <= 35`_x000D_
*   `num` consists only of digits._x000D_
_x000D_
**Follow up:** How would you handle overflow for very large input integers?"
"307","range-sum-query-mutable","Range Sum Query - Mutable","Medium","Given an integer array `nums`, handle multiple queries of the following types:_x000D_
_x000D_
1.  **Update** the value of an element in `nums`._x000D_
2.  Calculate the **sum** of the elements of `nums` between indices `left` and `right` **inclusive** where `left <= right`._x000D_
_x000D_
Implement the `NumArray` class:_x000D_
_x000D_
*   `NumArray(int[] nums)` Initializes the object with the integer array `nums`._x000D_
*   `void update(int index, int val)` **Updates** the value of `nums[index]` to be `val`._x000D_
*   `int sumRange(int left, int right)` Returns the **sum** of the elements of `nums` between indices `left` and `right` **inclusive** (i.e. `nums[left] + nums[left + 1] + ... + nums[right]`)._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input**_x000D_
\[ ""NumArray "",  ""sumRange "",  ""update "",  ""sumRange ""\]_x000D_
\[\[\[1, 3, 5\]\], \[0, 2\], \[1, 2\], \[0, 2\]\]_x000D_
**Output**_x000D_
\[null, 9, null, 8\]_x000D_
_x000D_
**Explanation**_x000D_
NumArray numArray = new NumArray(\[1, 3, 5\]);_x000D_
numArray.sumRange(0, 2); // return 1 + 3 + 5 = 9_x000D_
numArray.update(1, 2);   // nums = \[1, 2, 5\]_x000D_
numArray.sumRange(0, 2); // return 1 + 2 + 5 = 8_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 3 * 104`_x000D_
*   `-100 <= nums[i] <= 100`_x000D_
*   `0 <= index < nums.length`_x000D_
*   `-100 <= val <= 100`_x000D_
*   `0 <= left <= right < nums.length`_x000D_
*   At most `3 * 104` calls will be made to `update` and `sumRange`."
"308","range-sum-query-2d-mutable","Range Sum Query 2D - Mutable","Hard","Given a 2D matrix `matrix`, handle multiple queries of the following types:_x000D_
_x000D_
1.  **Update** the value of a cell in `matrix`._x000D_
2.  Calculate the **sum** of the elements of `matrix` inside the rectangle defined by its **upper left corner** `(row1, col1)` and **lower right corner** `(row2, col2)`._x000D_
_x000D_
Implement the NumMatrix class:_x000D_
_x000D_
*   `NumMatrix(int[][] matrix)` Initializes the object with the integer matrix `matrix`._x000D_
*   `void update(int row, int col, int val)` **Updates** the value of `matrix[row][col]` to be `val`._x000D_
*   `int sumRegion(int row1, int col1, int row2, int col2)` Returns the **sum** of the elements of `matrix` inside the rectangle defined by its **upper left corner** `(row1, col1)` and **lower right corner** `(row2, col2)`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input**_x000D_
\[ ""NumMatrix "",  ""sumRegion "",  ""update "",  ""sumRegion ""\]_x000D_
\[\[\[\[3, 0, 1, 4, 2\], \[5, 6, 3, 2, 1\], \[1, 2, 0, 1, 5\], \[4, 1, 0, 1, 7\], \[1, 0, 3, 0, 5\]\]\], \[2, 1, 4, 3\], \[3, 2, 2\], \[2, 1, 4, 3\]\]_x000D_
**Output**_x000D_
\[null, 8, null, 10\]_x000D_
_x000D_
**Explanation**_x000D_
NumMatrix numMatrix = new NumMatrix(\[\[3, 0, 1, 4, 2\], \[5, 6, 3, 2, 1\], \[1, 2, 0, 1, 5\], \[4, 1, 0, 1, 7\], \[1, 0, 3, 0, 5\]\]);_x000D_
numMatrix.sumRegion(2, 1, 4, 3); // return 8 (i.e. sum of the left red rectangle)_x000D_
numMatrix.update(3, 2, 2);       // matrix changes from left image to right image_x000D_
numMatrix.sumRegion(2, 1, 4, 3); // return 10 (i.e. sum of the right red rectangle)_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == matrix.length`_x000D_
*   `n == matrix[i].length`_x000D_
*   `1 <= m, n <= 200`_x000D_
*   `-1000 <= matrix[i][j] <= 1000`_x000D_
*   `0 <= row < m`_x000D_
*   `0 <= col < n`_x000D_
*   `-1000 <= val <= 1000`_x000D_
*   `0 <= row1 <= row2 < m`_x000D_
*   `0 <= col1 <= col2 < n`_x000D_
*   At most `5000` calls will be made to `sumRegion` and `update`."
"309","best-time-to-buy-and-sell-stock-with-cooldown","Best Time to Buy and Sell Stock with Cooldown","Medium","You are given an array `prices` where `prices[i]` is the price of a given stock on the `ith` day._x000D_
_x000D_
Find the maximum profit you can achieve. You may complete as many transactions as you like (i.e., buy one and sell one share of the stock multiple times) with the following restrictions:_x000D_
_x000D_
*   After you sell your stock, you cannot buy stock on the next day (i.e., cooldown one day)._x000D_
_x000D_
**Note:** You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again)._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** prices = \[1,2,3,0,2\]_x000D_
**Output:** 3_x000D_
**Explanation:** transactions = \[buy, sell, cooldown, buy, sell\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** prices = \[1\]_x000D_
**Output:** 0_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= prices.length <= 5000`_x000D_
*   `0 <= prices[i] <= 1000`"
"310","minimum-height-trees","Minimum Height Trees","Medium","A tree is an undirected graph in which any two vertices are connected by _exactly_ one path. In other words, any connected graph without simple cycles is a tree._x000D_
_x000D_
Given a tree of `n` nodes labelled from `0` to `n - 1`, and an array of `n - 1` `edges` where `edges[i] = [ai, bi]` indicates that there is an undirected edge between the two nodes `ai` and `bi` in the tree, you can choose any node of the tree as the root. When you select a node `x` as the root, the result tree has height `h`. Among all possible rooted trees, those with minimum height (i.e. `min(h)`) are called **minimum height trees** (MHTs)._x000D_
_x000D_
Return _a list of all **MHTs'** root labels_. You can return the answer in **any order**._x000D_
_x000D_
The **height** of a rooted tree is the number of edges on the longest downward path between the root and a leaf._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** n = 4, edges = \[\[1,0\],\[1,2\],\[1,3\]\]_x000D_
**Output:** \[1\]_x000D_
**Explanation:** As shown, the height of the tree is 1 when the root is the node with label 1 which is the only MHT._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** n = 6, edges = \[\[3,0\],\[3,1\],\[3,2\],\[3,4\],\[5,4\]\]_x000D_
**Output:** \[3,4\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= n <= 2 * 104`_x000D_
*   `edges.length == n - 1`_x000D_
*   `0 <= ai, bi < n`_x000D_
*   `ai != bi`_x000D_
*   All the pairs `(ai, bi)` are distinct._x000D_
*   The given input is **guaranteed** to be a tree and there will be **no repeated** edges."
"311","sparse-matrix-multiplication","Sparse Matrix Multiplication","Medium","Given two [sparse matrices](https://en.wikipedia.org/wiki/Sparse_matrix) `mat1` of size `m x k` and `mat2` of size `k x n`, return the result of `mat1 x mat2`. You may assume that multiplication is always possible._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** mat1 = \[\[1,0,0\],\[-1,0,3\]\], mat2 = \[\[7,0,0\],\[0,0,0\],\[0,0,1\]\]_x000D_
**Output:** \[\[7,0,0\],\[-7,0,3\]\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** mat1 = \[\[0\]\], mat2 = \[\[0\]\]_x000D_
**Output:** \[\[0\]\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == mat1.length`_x000D_
*   `k == mat1[i].length == mat2.length`_x000D_
*   `n == mat2[i].length`_x000D_
*   `1 <= m, n, k <= 100`_x000D_
*   `-100 <= mat1[i][j], mat2[i][j] <= 100`"
"312","burst-balloons","Burst Balloons","Hard","You are given `n` balloons, indexed from `0` to `n - 1`. Each balloon is painted with a number on it represented by an array `nums`. You are asked to burst all the balloons._x000D_
_x000D_
If you burst the `ith` balloon, you will get `nums[i - 1] * nums[i] * nums[i + 1]` coins. If `i - 1` or `i + 1` goes out of bounds of the array, then treat it as if there is a balloon with a `1` painted on it._x000D_
_x000D_
Return _the maximum coins you can collect by bursting the balloons wisely_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[3,1,5,8\]_x000D_
**Output:** 167_x000D_
**Explanation:**_x000D_
nums = \[3,1,5,8\] --> \[3,5,8\] --> \[3,8\] --> \[8\] --> \[\]_x000D_
coins =  3\*1\*5    +   3\*5\*8   +  1\*3\*8  + 1\*8\*1 = 167_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[1,5\]_x000D_
**Output:** 10_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `n == nums.length`_x000D_
*   `1 <= n <= 300`_x000D_
*   `0 <= nums[i] <= 100`"
"313","super-ugly-number","Super Ugly Number","Medium","A **super ugly number** is a positive integer whose prime factors are in the array `primes`._x000D_
_x000D_
Given an integer `n` and an array of integers `primes`, return _the_ `nth` _**super ugly number**_._x000D_
_x000D_
The `nth` **super ugly number** is **guaranteed** to fit in a **32-bit** signed integer._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** n = 12, primes = \[2,7,13,19\]_x000D_
**Output:** 32_x000D_
**Explanation:** \[1,2,4,7,8,13,14,16,19,26,28,32\] is the sequence of the first 12 super ugly numbers given primes = \[2,7,13,19\]._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** n = 1, primes = \[2,3,5\]_x000D_
**Output:** 1_x000D_
**Explanation:** 1 has no prime factors, therefore all of its prime factors are in the array primes = \[2,3,5\]._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= n <= 105`_x000D_
*   `1 <= primes.length <= 100`_x000D_
*   `2 <= primes[i] <= 1000`_x000D_
*   `primes[i]` is **guaranteed** to be a prime number._x000D_
*   All the values of `primes` are **unique** and sorted in **ascending order**."
"314","binary-tree-vertical-order-traversal","Binary Tree Vertical Order Traversal","Medium","Given the `root` of a binary tree, return _**the vertical order traversal** of its nodes' values_. (i.e., from top to bottom, column by column)._x000D_
_x000D_
If two nodes are in the same row and column, the order should be from **left to right**._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** root = \[3,9,20,null,null,15,7\]_x000D_
**Output:** \[\[9\],\[3,15\],\[20\],\[7\]\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** root = \[3,9,8,4,0,1,7\]_x000D_
**Output:** \[\[4\],\[9\],\[3,0,1\],\[8\],\[7\]\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** root = \[3,9,8,4,0,1,7,null,null,null,2,5\]_x000D_
**Output:** \[\[4\],\[9,5\],\[3,0,1\],\[8,2\],\[7\]\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the tree is in the range `[0, 100]`._x000D_
*   `-100 <= Node.val <= 100`"
"315","count-of-smaller-numbers-after-self","Count of Smaller Numbers After Self","Hard","Given an integer array `nums`, return _an integer array_ `counts` _where_ `counts[i]` _is the number of smaller elements to the right of_ `nums[i]`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[5,2,6,1\]_x000D_
**Output:** \[2,1,1,0\]_x000D_
**Explanation:**_x000D_
To the right of 5 there are **2** smaller elements (2 and 1)._x000D_
To the right of 2 there is only **1** smaller element (1)._x000D_
To the right of 6 there is **1** smaller element (1)._x000D_
To the right of 1 there is **0** smaller element._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[-1\]_x000D_
**Output:** \[0\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[-1,-1\]_x000D_
**Output:** \[0,0\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 105`_x000D_
*   `-104 <= nums[i] <= 104`"
"316","remove-duplicate-letters","Remove Duplicate Letters","Medium","Given a string `s`, remove duplicate letters so that every letter appears once and only once. You must make sure your result is **the smallest in lexicographical order** among all possible results._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""bcabc ""_x000D_
**Output:**  ""abc ""_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""cbacdcbc ""_x000D_
**Output:**  ""acdb ""_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 104`_x000D_
*   `s` consists of lowercase English letters._x000D_
_x000D_
**Note:** This question is the same as 1081: [https://leetcode.com/problems/smallest-subsequence-of-distinct-characters/](https://leetcode.com/problems/smallest-subsequence-of-distinct-characters/)"
"317","shortest-distance-from-all-buildings","Shortest Distance from All Buildings","Hard","You are given an `m x n` grid `grid` of values `0`, `1`, or `2`, where:_x000D_
_x000D_
*   each `0` marks **an empty land** that you can pass by freely,_x000D_
*   each `1` marks **a building** that you cannot pass through, and_x000D_
*   each `2` marks **an obstacle** that you cannot pass through._x000D_
_x000D_
You want to build a house on an empty land that reaches all buildings in the **shortest total travel** distance. You can only move up, down, left, and right._x000D_
_x000D_
Return _the **shortest travel distance** for such a house_. If it is not possible to build such a house according to the above rules, return `-1`._x000D_
_x000D_
The **total travel distance** is the sum of the distances between the houses of the friends and the meeting point._x000D_
_x000D_
The distance is calculated using [Manhattan Distance](http://en.wikipedia.org/wiki/Taxicab_geometry), where `distance(p1, p2) = |p2.x - p1.x| + |p2.y - p1.y|`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** grid = \[\[1,0,2,0,1\],\[0,0,0,0,0\],\[0,0,1,0,0\]\]_x000D_
**Output:** 7_x000D_
**Explanation:** Given three buildings at (0,0), (0,4), (2,2), and an obstacle at (0,2)._x000D_
The point (1,2) is an ideal empty land to build a house, as the total travel distance of 3+3+1=7 is minimal._x000D_
So return 7._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** grid = \[\[1,0\]\]_x000D_
**Output:** 1_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** grid = \[\[1\]\]_x000D_
**Output:** -1_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == grid.length`_x000D_
*   `n == grid[i].length`_x000D_
*   `1 <= m, n <= 50`_x000D_
*   `grid[i][j]` is either `0`, `1`, or `2`._x000D_
*   There will be **at least one** building in the `grid`."
"318","maximum-product-of-word-lengths","Maximum Product of Word Lengths","Medium","Given a string array `words`, return _the maximum value of_ `length(word[i]) * length(word[j])` _where the two words do not share common letters_. If no such two words exist, return `0`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** words = \[ ""abcw "", ""baz "", ""foo "", ""bar "", ""xtfn "", ""abcdef ""\]_x000D_
**Output:** 16_x000D_
**Explanation:** The two words can be  ""abcw "",  ""xtfn ""._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** words = \[ ""a "", ""ab "", ""abc "", ""d "", ""cd "", ""bcd "", ""abcd ""\]_x000D_
**Output:** 4_x000D_
**Explanation:** The two words can be  ""ab "",  ""cd ""._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** words = \[ ""a "", ""aa "", ""aaa "", ""aaaa ""\]_x000D_
**Output:** 0_x000D_
**Explanation:** No such pair of words._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `2 <= words.length <= 1000`_x000D_
*   `1 <= words[i].length <= 1000`_x000D_
*   `words[i]` consists only of lowercase English letters."
